지역명,규모구분,연도,월,분양가격(제곱미터),평당분양가격
전남,전용면적 102제곱미터초과,2016,1,2176.0,7180.799999999999
경북,모든면적,2016,1,2181.0,7197.299999999999
경북,전용면적 60제곱미터이하,2016,1,2178.0,7187.4
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2185.0,7210.5
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2516.0,8302.8
경북,전용면적 102제곱미터초과,2016,1,2346.0,7741.799999999999
경남,모든면적,2016,1,2327.0,7679.099999999999
경남,전용면적 60제곱미터이하,2016,1,2270.0,7491.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2348.0,7748.4
경남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2925.0,9652.5
경남,전용면적 102제곱미터초과,2016,1,2828.0,9332.4
제주,모든면적,2016,1,2268.0,7484.4
제주,전용면적 60제곱미터이하,2016,1,,
제주,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2260.0,7458.0
제주,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2583.0,8523.9
제주,전용면적 102제곱미터초과,2016,1,2574.0,8494.199999999999
서울,모든면적,2016,2,6111.0,20166.3
서울,전용면적 60제곱미터이하,2016,2,6438.0,21245.399999999998
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,2,6039.0,19928.7
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,2,6513.0,21492.899999999998
서울,전용면적 102제곱미터초과,2016,2,6458.0,21311.399999999998
인천,모든면적,2016,2,3192.0,10533.599999999999
인천,전용면적 60제곱미터이하,2016,2,3328.0,10982.4
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3112.0,10269.599999999999
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,2,3545.0,11698.5
인천,전용면적 102제곱미터초과,2016,2,3408.0,11246.4
경기,모든면적,2016,2,3219.0,10622.699999999999
경기,전용면적 60제곱미터이하,2016,2,3294.0,10870.199999999999
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3268.0,10784.4
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,2,3381.0,11157.3
경기,전용면적 102제곱미터초과,2016,2,3669.0,12107.699999999999
부산,모든면적,2016,2,3154.0,10408.199999999999
부산,전용면적 60제곱미터이하,2016,2,2999.0,9896.699999999999
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3060.0,10098.0
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2957.0,9758.1
부산,전용면적 102제곱미터초과,2016,2,3812.0,12579.599999999999
대구,모든면적,2016,2,3064.0,10111.199999999999
대구,전용면적 60제곱미터이하,2016,2,3341.0,11025.3
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3079.0,10160.699999999999
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2532.0,8355.6
대구,전용면적 102제곱미터초과,2016,2,2743.0,9051.9
광주,모든면적,2016,2,2569.0,8477.699999999999
광주,전용면적 60제곱미터이하,2016,2,2395.0,7903.5
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2582.0,8520.6
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,2,,
광주,전용면적 102제곱미터초과,2016,2,,
대전,모든면적,2016,2,2454.0,8098.2
대전,전용면적 60제곱미터이하,2016,2,2585.0,8530.5
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2428.0,8012.4
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2461.0,8121.299999999999
대전,전용면적 102제곱미터초과,2016,2,,
울산,모든면적,2016,2,3046.0,10051.8
울산,전용면적 60제곱미터이하,2016,2,2584.0,8527.199999999999
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3053.0,10074.9
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2663.0,8787.9
울산,전용면적 102제곱미터초과,2016,2,2874.0,9484.199999999999
세종,모든면적,2016,2,2665.0,8794.5
세종,전용면적 60제곱미터이하,2016,2,2601.0,8583.3
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2676.0,8830.8
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2661.0,8781.3
세종,전용면적 102제곱미터초과,2016,2,2752.0,9081.6
강원,모든면적,2016,2,2173.0,7170.9
강원,전용면적 60제곱미터이하,2016,2,2290.0,7557.0
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2200.0,7260.0
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,2,,
강원,전용면적 102제곱미터초과,2016,2,2350.0,7755.0
충북,모든면적,2016,2,2008.0,6626.4
충북,전용면적 60제곱미터이하,2016,2,1952.0,6441.599999999999
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2021.0,6669.299999999999
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2276.0,7510.799999999999
충북,전용면적 102제곱미터초과,2016,2,2261.0,7461.299999999999
충남,모든면적,2016,2,2272.0,7497.599999999999
충남,전용면적 60제곱미터이하,2016,2,2496.0,8236.8
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2282.0,7530.599999999999
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2541.0,8385.3
